Alpha Omicron Pi Corporations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:23 PM
Profit & Loss by Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/01/2017
July 2016 through February 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accrual Basis
,,,,,Alpha,Alpha Chi,Alpha Delta,Alpha Epsilon,Alpha Gamma,Alpha Lambda,Alpha Mu,Alpha Nu,Alpha Phi,Alpha Pi,Alpha Psi,Alpha Rho,Alpha Theta,Beta Chi,Beta Eta,Beta Gamma,Beta Kappa,Beta Nu,Beta Phi,Beta Sigma,Beta Tau,Beta Upsilon,Beta Zeta,Chi Epsilon,Chi Lambda,Chi Phi,Chi Psi,Chi Theta,Delta,Delta Beta,Delta Delta,Delta Epsilon,Delta Gamma,Delta Kappa,Delta Lambda,Delta Nu,Delta Omega,Delta Pi,Delta Rho,Delta Sigma,Delta Tau,Delta Theta,Delta Xi,Epsilon Alpha,Epsilon Chi,Epsilon Gamma,Epsilon Omega,Epsilon Sigma,Gamma,Gamma Alpha,Gamma Chi,Gamma Delta,Gamma Omicron,Gamma Phi,Gamma Sigma,Gamma Theta,Iota,Iota Chi,Iota Sigma,Iota Theta,Kappa Alpha,Kappa Chi,Kappa Delta,Kappa Gamma,Kappa Kappa,Kappa Lambda,Kappa Oemga,Kappa Omega,Kappa Omicron,Kappa Phi,Kappa Rho,Kappa Sigma,Kappa Tau,Lambda Alpha,Lambda Beta,Lambda Chi,Lambda Delta,Lambda Epsilon,Lambda Eta,Lambda Iota,Lambda Lambda,Lambda Omicron,Lambda Rho,Lambda Sigma,Lambda Tau,Lambda Upsilon,Mu Lambda,My lambda,Nu Beta,Nu Omega,Nu Omicron,Oega siga,Omega,Omega Sigma,Omega Upsilon,Omicron,Omicron Pi,Phi Alpha,Phi Beta,Phi Chi,Phi Delta,Phi Gamma,Phi Lambda,Phi Sigma,Phi Upsilon,Pi Alpha,Pi Delta,Pi Omicron,Pi Theta,Rho Beta,Rho Delta,Rho Omicron,Sigma Alpha,Sigma Beta,Sigma Chi,Sigma Delta,Sigma Gamma,Sigma Omicron,Sigma Phi,Sigma Rho,Sigma Tau,Sigma Theta,Tau Delta,Tau Gamma,Tau Lambda,Tau Mu,Tau Omega,Tau Omicron,Theta Beta,Theta Chi,Theta Iota,Theta Omega,Theta Pi,Theta Psi,Theta Sigma,Upsilon,Upsilon Beta,Upsilon Lambda,Xi,Xi Omicron,Xi Rho,Zeta,Zeta Pi,Zeta Psi,Zeta Theta,ZZ - Delta Psi,ZZ - Sigma,ZZ - Tau (TN),Unclassified,TOTAL
,,,Bad Debt Exp (Do Not Use),,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,Bank fees,,81.42,274.95,"1,229.27",22.07,626.86,651.30,46.73,44.58,275.17,957.75,40.71,171.45,30.64,18.23,0.00,435.27,0.00,0.00,668.64,0.00,0.00,32.14,105.01,585.06,42.85,22.51,433.99,37.07,88.52,73.50,130.30,42.85,0.00,88.52,22.07,83.59,76.73,59.59,62.15,390.04,26.35,29.57,25.29,94.30,107.16,135.65,40.71,10.30,34.93,74.58,0.00,46.09,804.51,58.93,37.07,67.08,675.71,0.00,456.28,58.93,41.79,52.51,28.95,35.37,73.50,0.00,0.00,783.52,84.22,0.00,303.03,11.36,54.21,23.57,228.66,25.29,34.93,0.00,203.59,65.35,0.00,17.80,80.36,943.83,52.07,208.96,49.93,0.00,"1,455.81",63.86,266.17,0.00,121.72,654.72,512.00,661.78,0.00,0.00,29.57,66.43,33.87,276.90,21.01,56.79,84.22,71.80,546.71,35.37,114.67,51.00,86.81,61.72,470.20,97.09,92.53,28.95,62.79,83.59,205.31,24.66,33.21,52.51,30.02,141.03,23.57,0.00,46.73,64.95,71.80,8.16,70.31,92.16,28.50,41.79,0.00,442.33,15.64,40.30,863.67,"1,288.50",86.38,494.62,57.44,588.49,69.22,0.00,0.00,0.00,0.00,"25,127.15"
,,,CLEANING.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Annual Cleaning,0.00,"1,617.14",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,049.39",0.00,0.00,0.00,0.00,"6,125.14",0.00,0.00,0.00,0.00,0.00,0.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,825.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,500.00",0.00,"2,291.69",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"7,940.32",0.00,0.00,0.00,0.00,0.00,"8,506.50","5,801.74",0.00,0.00,0.00,0.00,0.00,"1,400.00",0.00,0.00,"4,050.00",0.00,795.00,0.00,0.00,0.00,0.00,"4,034.00",905.00,0.00,"2,930.69",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,321.00",0.00,0.00,"6,050.00",0.00,0.00,"6,918.07",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"79,360.68"
,,,,Cleaning Service,0.00,0.00,"30,534.14",0.00,"39,085.00","4,750.00",0.00,0.00,"12,275.00","2,794.70",0.00,"8,215.00",0.00,0.00,0.00,"13,065.63",0.00,0.00,"28,028.50",0.00,0.00,0.00,0.00,"12,264.17",160.00,0.00,"3,650.00",0.00,0.00,"1,336.36","1,400.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"13,100.00",0.00,0.00,0.00,422.30,0.00,"2,794.00",0.00,0.00,0.00,0.00,0.00,827.70,"3,235.00",0.00,0.00,0.00,"2,156.26",0.00,"16,363.06",0.00,0.00,180.00,0.00,0.00,330.00,0.00,0.00,"7,650.00",650.00,0.00,"3,400.00",0.00,0.00,0.00,770.00,0.00,0.00,0.00,"5,175.00",0.00,0.00,0.00,337.50,"25,125.00",0.00,0.00,0.00,0.00,68.24,0.00,"6,880.00",0.00,146.00,"12,454.87","11,985.07","13,855.54","11,500.00",0.00,0.00,0.00,0.00,"6,825.00",0.00,0.00,"16,320.00",0.00,"9,823.98",0.00,0.00,0.00,0.00,0.00,"9,142.51",0.00,0.00,0.00,0.00,0.00,"1,250.00",0.00,0.00,0.00,0.00,298.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,026.00",0.00,0.00,"18,900.00","29,288.52",0.00,"19,267.68",0.00,"7,250.00","9,160.00",0.00,0.00,0.00,0.00,"435,515.73"
,,,,Cleaning Supplies - Cleaners,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,102.34",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,352.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,010.00",0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,484.84"
,,,,CLEANING. - Other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,Total CLEANING.,,0.00,"1,617.14","30,534.14",0.00,"39,085.00","4,750.00",0.00,0.00,"12,275.00","2,794.70",0.00,"8,215.00",0.00,0.00,0.00,"13,065.63",0.00,0.00,"32,077.89",0.00,0.00,0.00,0.00,"18,389.31",160.00,0.00,"3,650.00",0.00,0.00,"1,336.36","1,700.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"19,027.34",0.00,0.00,0.00,422.30,0.00,"2,794.00",0.00,0.00,0.00,0.00,0.00,827.70,"3,235.00",0.00,0.00,0.00,"5,656.26",0.00,"18,654.75",0.00,0.00,180.00,0.00,0.00,330.00,0.00,0.00,"9,650.00",650.00,0.00,"3,400.00",0.00,0.00,0.00,770.00,0.00,0.00,0.00,"5,175.00",0.00,0.00,0.00,337.50,"25,125.00",0.00,0.00,0.00,0.00,"8,008.56",0.00,"6,880.00",0.00,146.00,"12,807.37","20,491.57","19,657.28","11,500.00",0.00,0.00,0.00,0.00,"8,225.00",0.00,0.00,"20,370.00",0.00,"10,618.98",0.00,0.00,0.00,0.00,"4,034.00","10,047.51",0.00,"2,930.69",0.00,0.00,0.00,"1,250.00",0.00,0.00,0.00,0.00,298.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"17,347.00",0.00,0.00,"24,950.00","30,298.52",0.00,"26,205.75",0.00,"7,250.00","9,160.00",0.00,0.00,0.00,0.00,"518,361.25"
,,,CONVENTION/LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Convention/LI Expenditures,0.00,0.00,0.00,0.00,695.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,515.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,530.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,529.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-465.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,209.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,355.00,0.00,0.00,0.00,0.00,0.00,-665.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-521.20,0.00,0.00,0.00,0.00,"1,183.17"
,,,,CONVENTION/LI - Other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,Total CONVENTION/LI,,0.00,0.00,0.00,0.00,695.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,515.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,530.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,529.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-465.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,209.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,355.00,0.00,0.00,0.00,0.00,0.00,-665.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-521.20,0.00,0.00,0.00,0.00,"1,183.17"
,,,DEPRECIATION(EXP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Depreciation & Amortization Exp,336.00,"2,939.24","44,772.21",0.00,"23,474.52","6,789.90",25.49,0.00,"50,725.51","32,803.44","2,347.71","16,681.50",866.07,0.00,0.00,"10,979.71",0.00,0.00,"27,410.76",0.00,0.00,0.00,0.00,"20,288.63","2,537.50",0.00,"6,050.90",316.92,226.33,"5,772.92","15,399.21",488.02,0.00,879.67,0.00,0.00,0.00,208.30,31.83,"4,432.65","3,803.59",413.42,0.00,"1,062.48","3,172.40","1,563.78",39.25,0.00,0.00,0.00,0.00,"3,491.69","49,606.84",0.00,725.01,"3,365.80","12,250.13",0.00,"10,381.47",0.00,431.33,807.09,0.00,333.33,0.00,0.00,0.00,"1,973.69","4,443.24",0.00,667.77,0.00,"2,191.99",0.00,0.00,202.57,0.00,0.00,"7,968.90",0.00,0.00,94.17,"5,579.69","37,675.06",0.00,"2,907.31",557.67,0.00,"80,759.10",0.00,"23,050.33",0.00,240.68,"39,883.36","4,467.92","2,790.38",0.00,0.00,0.00,59.17,0.00,"3,044.35",47.50,427.95,"3,838.82",95.08,"6,542.82","1,026.84",0.00,208.83,"6,303.40","5,048.24","1,518.71",124.29,"3,848.63",0.00,316.34,"3,919.92","10,806.01",0.00,240.71,0.00,"2,242.81","2,003.34",0.00,"1,497.69",657.76,"15,970.76",240.42,32.67,33.83,"1,379.23",0.00,66.41,0.00,"13,344.54",0.00,0.00,"22,304.89","40,611.24",0.00,"35,953.98",19.09,"2,843.27","4,976.75",210.00,0.00,0.00,0.00,"775,492.67"
,,,,DEPRECIATION(EXP) - Other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,Total DEPRECIATION(EXP),,336.00,"2,939.24","44,772.21",0.00,"23,474.52","6,789.90",25.49,0.00,"50,725.51","32,803.44","2,347.71","16,681.50",866.07,0.00,0.00,"10,979.71",0.00,0.00,"27,410.76",0.00,0.00,0.00,0.00,"20,288.63","2,537.50",0.00,"6,050.90",316.92,226.33,"5,772.92","15,399.21",488.02,0.00,879.67,0.00,0.00,0.00,208.30,31.83,"4,432.65","3,803.59",413.42,0.00,"1,062.48","3,172.40","1,563.78",39.25,0.00,0.00,0.00,0.00,"3,491.69","49,606.84",0.00,725.01,"3,365.80","12,250.13",0.00,"10,381.47",0.00,431.33,807.09,0.00,333.33,0.00,0.00,0.00,"1,973.69","4,443.24",0.00,667.77,0.00,"2,191.99",0.00,0.00,202.57,0.00,0.00,"7,968.90",0.00,0.00,94.17,"5,579.69","37,675.06",0.00,"2,907.31",557.67,0.00,"80,759.10",0.00,"23,050.33",0.00,240.68,"39,883.36","4,467.92","2,790.38",0.00,0.00,0.00,59.17,0.00,"3,044.35",47.50,427.95,"3,838.82",95.08,"6,542.82","1,026.84",0.00,208.83,"6,303.40","5,048.24","1,518.71",124.29,"3,848.63",0.00,316.34,"3,919.92","10,806.01",0.00,240.71,0.00,"2,242.81","2,003.34",0.00,"1,497.69",657.76,"15,970.76",240.42,32.67,33.83,"1,379.23",0.00,66.41,0.00,"13,344.54",0.00,0.00,"22,304.89","40,611.24",0.00,"35,953.98",19.09,"2,843.27","4,976.75",210.00,0.00,0.00,0.00,"775,492.67"
,,,FOOD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Food,0.00,0.00,"444,148.87",0.00,"135,493.98","29,229.23",0.00,0.00,"45,916.15","289,478.26",327.29,"16,473.34",0.00,0.00,0.00,"83,621.09",0.00,0.00,"204,565.46",0.00,0.00,0.00,0.00,"52,107.81",0.00,0.00,0.00,0.00,0.00,0.00,"12,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,490.26","107,005.71",0.00,746.97,943.51,0.00,0.00,"7,985.39","1,050.81",0.00,0.00,0.00,0.00,0.00,"122,799.78",0.00,0.00,0.00,"129,990.30",0.00,"122,556.27",0.00,412.02,0.00,0.00,0.00,0.00,0.00,0.00,"155,379.56",0.00,0.00,"56,276.53",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,389.79","180,168.70",0.00,"126,897.64",0.00,0.00,"154,427.01",0.00,862.79,0.00,0.00,"143,102.96","46,586.68","181,904.81","8,621.97",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"142,265.40",0.00,"88,119.04",0.00,0.00,0.00,0.00,0.00,"93,572.78",0.00,"13,774.91",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"87,400.28",0.00,0.00,"158,639.43","220,422.75",0.00,"178,610.66",0.00,"42,360.61","7,035.58",0.00,0.00,0.00,0.00,"3,899,412.38"
,,,,FOOD. - Other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,Total FOOD.,,0.00,0.00,"444,148.87",0.00,"135,493.98","29,229.23",0.00,0.00,"45,916.15","289,478.26",327.29,"16,473.34",0.00,0.00,0.00,"83,621.09",0.00,0.00,"204,565.46",0.00,0.00,0.00,0.00,"52,107.81",0.00,0.00,0.00,0.00,0.00,0.00,"12,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,490.26","107,005.71",0.00,746.97,943.51,0.00,0.00,"7,985.39","1,050.81",0.00,0.00,0.00,0.00,0.00,"122,799.78",0.00,0.00,0.00,"129,990.30",0.00,"122,556.27",0.00,412.02,0.00,0.00,0.00,0.00,0.00,0.00,"155,379.56",0.00,0.00,"56,276.53",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,389.79","180,168.70",0.00,"126,897.64",0.00,0.00,"154,427.01",0.00,862.79,0.00,0.00,"143,102.96","46,586.68","181,904.81","8,621.97",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"142,265.40",0.00,"88,119.04",0.00,0.00,0.00,0.00,0.00,"93,572.78",0.00,"13,774.91",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"87,400.28",0.00,0.00,"158,639.43","220,422.75",0.00,"178,610.66",0.00,"42,360.61","7,035.58",0.00,0.00,0.00,0.00,"3,899,412.38"
,,,HOUSING  EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Furniture Lease,0.00,879.36,0.00,0.00,0.00,"2,504.24","3,142.40",0.00,"79,976.56",0.00,"7,991.04",0.00,0.00,0.00,"4,553.28",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"17,105.20",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"91,165.08",0.00,0.00,0.00,"46,517.84",0.00,"12,920.56",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,949.44",0.00,"2,632.96",0.00,"6,331.12",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,746.00",0.00,0.00,0.00,0.00,0.00,0.00,"1,758.72",0.00,0.00,0.00,"6,919.92",0.00,"17,586.48",0.00,0.00,0.00,0.00,"14,069.20",0.00,0.00,0.00,0.00,"39,658.80",0.00,0.00,0.00,0.00,0.00,"3,180.00",0.00,"13,817.36",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,605.92",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,396.64",0.00,0.00,"27,587.68",0.00,0.00,0.00,0.00,"9,183.60",0.00,0.00,0.00,0.00,0.00,"438,179.40"
